"","PC1","PC2","PC3","PC4"
"INDICE_ESCOL3_norm",0.316173537831865,0.160209477265988,-0.263451049105939,0.272214707320542
"INDICE_ESCOL_PAI_norm",0.369925340060039,-0.0335719581907996,0.195504487608952,-0.201968559839368
"INDICE_ESCOL_MAE_norm",0.365742584516765,-0.0332435513446639,0.264488191305471,0.203787342089521
"INDICE_OCUPACAO_norm",0.324857003940821,-0.0593820919094889,-0.209578447926252,0.357423276306065
"INDICE_OCUPACAO_PAI_norm",0.342018867351528,0.026520319417208,0.236777158838416,-0.259082739379263
"INDICE_OCUPACAO_MAE_norm",0.308267392239252,0.138623955197909,0.363348875671958,0.144179776377056
"INDICE_OCUPACAO_SONHOS2_norm",-0.0581321967335571,-0.377527523652716,-0.130224720493033,0.362724139634168
"INDICE_MEGA_norm",0.193528474426377,-0.292130373638912,-0.0807923447439547,-0.414322088128782
"INDICE_RENDA_IND_norm",0.171593965925562,0.32019142555165,-0.190979432015238,-0.201050931044814
"INDICE_IMOVEL_norm",0.0244950027026616,-0.0511991075965925,-0.597848772255187,-0.130033514828087
"INDICE_LAZER_norm",0.260585911620635,-0.347242377186035,-0.0814803243020533,0.0207478623797893
"INDICE_LAZER_CAMPINAS_norm",0.11017901446435,0.34485213907321,-0.196164634476359,0.335987032386739
"INDICE_VIAGEM_norm",0.132467907197166,0.261301968168902,-0.247104029803564,-0.151124100389345
"INDICE_VIAGEM_LUGAR_norm",0.181247040360493,0.345142016162174,-0.131442636468275,-0.25099943070277
"INDICE_VIAGEM_VONTADE_norm",0.31542369214643,-0.276032740211689,-0.112827680527152,0.0945434026688123
"INDICE_INFANCIA_norm",0.105224729307212,-0.335480846467437,-0.191935257184822,-0.243430261616496
