VD,CONT_PREC,OCORRENCIA,CONT_SEGUINTE,ITEM_LEXICAL,TRANSC_FONOLOGICA_SILAC,CONT_FON_PREC,CFP_abertura,CFP_anterioridade,CFP_tracoposicao1,CFP_tracoposicao2,CONT_FON_SEG,CFS_pontoc,CFS_sonor,TONICIDADE,POSICAO_S,CLASSE_MORFOLOGICA,CLASSE_MORFOLOGICA2,CLASSE_MORFOLOGICA3,MORFEMA.PLURAL,MORFEMA.PLURAL2,MUDANCA.SENTIDO,ESTILO,ARQUIVO,ANO.ENTREVISTA,LOCALIZACAO,PARTICIPANTE
P,feio porque a gente não é,acostumado <P>,a ouvir e quando a,acostumado,a-ko$-tu-'ma-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,adjetivo,adjetivo,lexical,nao,nao,nao,conversa,PBCP_2018MA-_JonasP,2018,00:21:51.608,JonasP
P,dia | S aí eu fui,acostumando <P>,acostumando <P> (e foi nossa,acostumando,a-ko$-tu-'mA-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2017MA-_WellingtonF,2017,00:21:55.258,WellingtonF
P,S aí eu fui acostumando <P>,acostumando <P>,(e foi nossa senhora) aí,acostumando,a-ko$-tu-'mA-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2017MA-_WellingtonF,2017,00:22:11.608,WellingtonF
P,aí eu estou <E> aprendendo já,acostumando <P>,já com o jeito daqui,acostumando,a-ko$-tu-'mA-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2018FB-_VeronicaS,2018,00:22:13.458,VeronicaS
A,quando a gente está <E> se,acostumando <A>,de novo | D1 aí,acostumando,a-ko$-tu-'mA-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2018FB-_VeronicaS,2018,00:23:08.381,VeronicaS
A,D1 sim | S você acaba,acostumando <A>,| D1 isso é/ isso,acostumando,a-ko$-tu-'mA-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2018MA-_FabianoJ,2018,00:23:11.829,FabianoJ
P,dentro da empresa aí você vai,acostumando <P>,a falar sabia? | D1,acostumando,a-ko$-tu-'mA-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,PBCP_2017FB-_JoelmaM,2017,00:23:11.829,JoelmaM
P,eu acho que eu não vou,acostumar <P>,| D1 aham | S,acostumar,a-ko$-tu-'mar,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2017MA-_WellingtonF,2017,00:23:13.627,WellingtonF
P,menina eu | S pra eu,acostumar <P>,ainda estou <E> tentando me,acostumar,a-ko$-tu-'mar,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2018FB-_VeronicaS,2018,00:23:21.393,VeronicaS
P,<P> ainda estou <E> tentando me,acostumar <P>,... falar igual o povo,acostumar,a-ko$-tu-'mar,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2018FB-_VeronicaS,2018,00:23:21.393,VeronicaS
