VD,CONT_PREC,OCORRENCIA,CONT_SEGUINTE,ITEM_LEXICAL,TRANSC_FONOLOGICA_SILAC,CONT_FON_PREC,CFP_abertura,CFP_anterioridade,CFP_tracoposicao1,CFP_tracoposicao2,CONT_FON_SEG,CFS_pontoc,CFS_sonor,TONICIDADE,POSICAO_S,CLASSE_MORFOLOGICA,CLASSE_MORFOLOGICA2,CLASSE_MORFOLOGICA3,MORFEMA.PLURAL,MORFEMA.PLURAL2,MUDANCA.SENTIDO,ESTILO,ARQUIVO,ANO.ENTREVISTA,LOCALIZACAO,PARTICIPANTE
A,a gente vê assim pouco caso,eles <A>,fazem entendeu pouco caso |,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:35:45.768,RoselinaM
A,que São Paulo eu acho que,eles <A>,vê São Paulo assim |,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,v,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:35:45.768,RoselinaM
A,S que ele a/ ele imagina,eles <A>,cria essa imaginação da gente,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,k,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:04.788,RoselinaM
P,<A> então é a impressão que,eles <P>,tem de São Paulo antes,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:04.788,RoselinaM
A,que hoje | S mas <A>,eles <A>,tem essa impressão de quem,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:18.593,RoselinaM
A,S e só e não sabe,eles <A>,como que é fácil o,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,k,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:25.171,RoselinaM
A,antes <A> dela nascer | S,eles <A>,brincava muito comigo né |,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,b,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:25.171,RoselinaM
A,que eu falava então | S,eles <A>,foram se adaptando | S,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:28.882,RoselinaM
A,mesmo <A> entendeu? | S então,eles <A>,foram mas <A> no começo,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:33.384,RoselinaM
A,<A> foram mas <A> no começo,eles <A>,| S tirava sarro do,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,#,#,#,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:38.585,RoselinaM
A,eh não os <A> nordestino <P>,eles <A>,tinham como os <H> nordestino,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:39.971,RoselinaM
A,| S lá | S porque,eles <A>,têm como a gente vivia,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:39.971,RoselinaM
A,Nordeste <P> | S é que,eles <A>,mostra <A> só o Nordeste,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,m,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:43.854,RoselinaM
A,coisas boas | S mas <A>,eles <A>,mostra <A> só as <A>,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,m,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:43.854,RoselinaM
A,<A> coisa ruim do Nordeste <P>,eles <A>,não mostra <A> as <A>,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,n,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:47.764,RoselinaM
A,é tido essa característica <P> de,eles <A>,mostrar <A> só o que,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,m,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:47.764,RoselinaM
A,| D1 aham | S com,eles <A>,| S eu falei assim,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,#,#,#,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:52.627,RoselinaM
A,conhece de longe o piauiense porque,eles <A>,tem uma história <P> de,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:55.456,RoselinaM
A,de falar de se expressar <A>,eles <A>,"falam ""eita os <A> paulista",eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:55.456,RoselinaM
A,tem uma diferença | S o/,eles <A>,lá né | D1 aham,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,l,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:36:58.620,RoselinaM
A,| S isso | S aí,eles <A>,pensa que é tudo fácil,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,p,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA-_ValentinaM,2018,00:36:58.620,ValentinaM
A,pessoas <A> vê | S ou,eles <A>,falam que é | S,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA-_ValentinaM,2018,00:37:00.156,ValentinaM
A,falam que é | S no/,eles <A>,"falam assim logo ""já é/",eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA-_ValentinaM,2018,00:37:00.156,ValentinaM
A,S é | S tipo que,eles <A>,fala o | S tipo,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA-_ValentinaM,2018,00:37:00.156,ValentinaM
A,minhas <A> amizade eu criei com,eles <A>,daqui entendeu? | D1 ah,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,d,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA-_ValentinaM,2018,00:37:04.753,ValentinaM
A,S vínculo maior | S aí,eles <A>,"falam ""você não é daqui",eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_AmandaP,2018,00:37:04.753,AmandaP
A,"S não ""você é nordestina"" <A>",eles <A>,"falam isso | S ""de",eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_AmandaP,2018,00:37:06.431,AmandaP
A,"porque você não fala muito puxado""",eles <A>,fala né | S mas,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_AmandaP,2018,00:37:11.264,AmandaP
A,o mineiro fala? | S não,eles <A>,têm muita gíria do 'uai',eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_AmandaP,2018,00:37:15.884,AmandaP
A,lá você fala? | S ah,eles <A>,têm outra visão né eles,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_PenelopeM,2018,00:37:18.242,PenelopeM
A,| S é eu acho que,eles <A>,falam rápido né | S,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_PenelopeM,2018,00:37:20.345,PenelopeM
A,entendeu? | D1 entendi | S,eles <A>,quase | S engasga <A>,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,k,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_PenelopeM,2018,00:37:25.458,PenelopeM
A,mesmo <A> | S é que,eles <A>,trabalham de se/ de/ não,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:29.103,RitaS
A,segunda pra eles <A> é sagrada,eles <A>,param | S eles <A>,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,p,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:29.103,RitaS
A,sagrada eles <A> param | S,eles <A>,não trabalham | S no,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,n,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:32.323,RitaS
A,S no sábado e no domingo,eles <A>,não trabalham | D1 uhn,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,n,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:32.323,RitaS
A,pouco | D1 uhum | S,eles <A>,vêm aqui | S tipo,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,v,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:45.083,RitaS
A,veio pra cá | S quando,eles <A>,viram o sistema <A> de,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,v,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:45.083,RitaS
A,| S tabalha demais <A> pra,eles <A>,| S quem vive aqui,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,#,#,#,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:45.083,RitaS
A,"Nordeste"" <P> | S mas <A>",eles <A>,não sabem identificar o sotaque,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,n,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:49.817,RitaS
A,| S mas <A> é lindo,eles <A>,falando | S eu acho,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:49.817,RitaS
A,não sabe identificar | S você/,eles <A>,"falam assim ""você é do",eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:49.817,RitaS
A,é | S baiano | S,eles <A>,não sabem identificar | D1,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,n,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:49.817,RitaS
A,ah mas ela (xxx) | S,eles <A>,te olham diferente | S,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:49.817,RitaS
A,<A> sotaque nordestino <P> mas <A>,eles <A>,falam outras <A> | S,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:49.817,RitaS
A,"fala ""você começa a falar igual",eles <A>,"quando chega lá"" | D1",eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,k,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:37:57.583,RitaS
A,| S eles <A> o paraibano,eles <A>,nunca | S às <A>,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,n,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:38:00.496,RitaS
A,também | D1 (xxx) | S,eles <A>,gostam <A> de | S,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,g,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:38:00.496,RitaS
A,| S Zé Ramalho | S,eles <A>,gostam <A> | S (xxx),eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,g,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:38:36.728,RitaS
A,mas <A> eu acho muito lindo,eles <A>,falarem | S (também assim),eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:38:39.382,RitaS
A,no seu sotaque | S aí,eles <A>,| S sabe? não entende,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,#,#,#,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FB-_MarianaS,2018,00:38:39.382,MarianaS
A,<A> como antes <A> assim tinha,eles <A>,precisavam trabalhar um tempo sabe,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,p,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FB-_RosemaraA,2018,00:38:39.382,RosemaraA
A,nem hoje | S que nem,eles <A>,fala mesmo <A> | S,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FB-_RosemaraA,2018,00:38:39.382,RosemaraA
A,<A> o pouco estudo <P> que,eles <A>,tiveram | S era um,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FB-_RosemaraA,2018,00:38:48.082,RosemaraA
A,<A> professores <A> bons <A> que,eles <A>,| S gravaram e pegaram,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,#,#,#,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FB-_RosemaraA,2018,00:39:16.314,RosemaraA
A,outra realidade mesmo | S aí,eles <A>,nasceram e cresceram né |,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,n,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FB-_RosemaraA,2018,00:39:26.783,RosemaraA
A,pra cá um pouquinho mas <A>,eles <A>,não vêm | S e,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,n,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FB-_RosemaraA,2018,00:39:26.783,RosemaraA
A,não? | S até hoje lá,eles <A>,não são muito de ajudar,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,n,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FB+_MelanieG,2018,00:39:32.821,MelanieG
A,meus <A> cunhado mesmo <A> quando,eles <A>,vêm/ eles <A> mora no,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,v,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FB+_MelanieG,2018,00:39:32.821,MelanieG
A,mesmo <A> quando eles <A> vêm/,eles <A>,mora no Rio De Janeiro,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,m,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FB+_MelanieG,2018,00:39:36.750,MelanieG
A,mora no Rio De Janeiro quando,eles <A>,vem pra cá/ nossa eles,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,v,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FB+_MelanieG,2018,00:39:36.750,MelanieG
A,D1 ah | S acho que,eles <A>,fala igual a gente também,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018FB+_MelanieG,2018,00:39:36.750,MelanieG
A,que todo lugar é bom com,eles <A>,perto | D1 ah |,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,p,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018MA-_JonasP,2018,00:39:39.752,JonasP
A,que não seja preconceito mas <A>,eles <A>,dizem que o paulista <P>,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,d,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018MA-_JonasP,2018,00:39:42.365,JonasP
A,"diz <P> assim ""tem tal coisa""",eles <A>,conhece só pela voz <A>,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,k,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018MA-_JonasP,2018,00:39:42.365,JonasP
A,coisa tudo normal | S pra,eles <A>,| S e o paraibano,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,#,#,#,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018MA-_JonasP,2018,00:39:46.180,JonasP
A,fala tudo normal assim | S,eles <A>,puxa mas <A> é em,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,p,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018MA-_JonasP,2018,00:39:46.180,JonasP
A,às <A> vez <0> | S,eles <A>,diz <A> assim | S,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,d,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018MA-_JonasP,2018,00:39:49.729,JonasP
A,não mas <A> é | S,eles <A>,trabalharam mais <A> e como,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018MA-_JonasP,2018,00:39:54.031,JonasP
A,sotaque mesmo | S é tanto,eles <A>,conhece a gente como a,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,k,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018MA-_JonasP,2018,00:39:56.660,JonasP
A,a gente como a gente conhece,eles <A>,| D1 sim | S,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,#,#,#,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018MA-_JonasP,2018,00:44:12.283,JonasP
A,são aqueles <A> grandão lá que,eles <A>,leva só para industria <A>,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,l,coronal,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018MB+_MatheusA,2018,00:44:18.867,MatheusA
A,está contando o minuto | S,eles <A>,falam assim que eu não,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018MB+_MatheusA,2018,00:44:23.299,MatheusA
A,todo mundo | S né que,eles <A>,moram longe aí tem que,eles,'e-le$,e,meia.fechada,anterior,mais.anterior,menos.posterior,m,dorsal.labial,sonora,atona,final,pronomepess,pronome,gramatical,sim,sim,nao,conversa,PBCP_2018MB+_MatheusA,2018,00:44:35.930,MatheusA
P,loja de material de de de,eletrodoméstico <P>,que tem lá só isso,eletrodoméstico,e-le-tRo-do-'me$-ti-ko,3,meia.aberta,anterior,mais.anterior,menos.posterior,t,coronal,surda,tonica,medial,substantivo,substantivo,lexical,nao,nao,nao,conversa,PBCP_2017FB-_JoelmaM,2017,00:20:00.289,JoelmaM
A,| S vão pelo mais <A>,empregos <A>,que | S que ganham,empregos,E-'pRe-go$,o,meia.fechada,posterior,menos.anterior,mais.posterior,k,dorsal.labial,surda,atona,final,substantivo,substantivo,lexical,sim,sim,nao,conversa,PBCP_2018MA-_JonasP,2018,00:20:09.473,JonasP
A,crise e | S muitas <A>,empresas <A>,foram se fechando | S,empresas,E-'pRe-za$,a,aberta,central,menos.anterior,menos.posterior,f,dorsal.labial,surda,atona,final,substantivo,substantivo,lexical,sim,sim,nao,conversa,PBCP_2018FB-_LucianaB,2018,00:20:14.503,LucianaB
A,S né? tem Unilever | S,empresas <A>,grandes <A> que dá para,empresas,E-'pRe-za$,a,aberta,central,menos.anterior,menos.posterior,g,dorsal.labial,sonora,atona,final,substantivo,substantivo,lexical,sim,sim,nao,conversa,PBCP_2018FB-_LucianaB,2018,00:20:14.503,LucianaB
A,| S financeira sim faz <0>,empréstimo <A>,essas <A> coisa sabe? |,empréstimo,E-'pRe$-ti-mo,3,meia.aberta,anterior,mais.anterior,menos.posterior,t,coronal,surda,tonica,medial,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2018FB+_MoniqueR,2018,00:20:18.094,MoniqueR
A,S tem uma financeira | S,empréstimo <A>,| S2 financeira sim faz,empréstimo,E-'pRe$-ti-mo,3,meia.aberta,anterior,mais.anterior,menos.posterior,t,coronal,surda,tonica,medial,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2018MB+_AlbertoS,2018,00:20:22.874,AlbertoS
A,a ma/ a | S a,encostada <A>,| S a caçula |,encostada,E-ko$-'ta-da,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017FA+_AdrieleS,2017,00:20:22.874,AdrieleS
P,caçula? | S a {J.} a,encostada <P>,a eu | D1 ah,encostada,E-ko$-'ta-da,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_JosileideS,2017,00:20:22.874,JosileideS
P,quatro e o outro que é,encostado <P>,a mim | S e,encostado,E-ko$-'ta-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,adjetivo,adjetivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_JosileideS,2017,00:20:26.586,JosileideS
A,| S chama neguinho o {E.},encostado <A>,a eu | S e,encostado,E-ko$-'ta-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,adjetivo,adjetivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_JosileideS,2017,00:20:31.247,JosileideS
A,tem o | S eu sou,encostado <A>,| S (pra ele) que,encostado,E-ko$-'ta-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,adjetivo,adjetivo,lexical,nao,nao,nao,conversa,ALCP_2018MA+_JoaquimS,2018,00:20:32.558,JoaquimS
P,{R.} | S eh do é,encostado <P>,o tem o {Re.} que,encostado,E-ko$-'ta-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_JosileideS,2017,00:20:39.018,JosileideS
A,a gente já se a gente,encostasse <A>,em alguém mais <A> velho,encostasse,E-ko$-'ta-se,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,PBCP_2018FB-_RosemaraA,2018,00:20:39.018,RosemaraA
A,S às <A> vezes <A> eu,(encostava) <A>,assim | S já fui,encostava,E-ko$-'ta-va,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2017MB-_JosueA,2017,00:20:54.399,JosueA
A,S eles <A> quase | S,engasga <A>,pra falar o erre então,engasga,E-'ga$-ga,a,aberta,central,menos.anterior,menos.posterior,g,dorsal.labial,sonora,tonica,medial,verbo,verbo,lexical,nao,nao,nao,conversa,PBCP_2018FA+_PenelopeM,2018,00:20:58.332,PenelopeM
A,<A> | S aquelas <A> panela,enormes <A>,| S cozinhando | S,enormes,e-'nor-me$,e,meia.fechada,anterior,mais.anterior,menos.posterior,#,#,#,atona,final,adjetivo,adjetivo,lexical,sim,sim,nao,conversa,PBCP_2017FA+_EdileneB,2017,00:21:05.649,EdileneB
P,<A> en/ os <A> mais <A>,entendidos <P>,né | S que gostava,entendidos,E-tE-'di-do$,o,meia.fechada,posterior,menos.anterior,mais.posterior,n,coronal,sonora,atona,final,adjetivo,adjetivo,lexical,sim,sim,nao,conversa,ALCP_2018FB-_YasminS,2018,00:21:10.687,YasminS
A,D1 (xxx) | S pra fazer,entrevista <A>,e tudo mas <0> é,entrevista,E-tRe-'vi$-ta,i,fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,tonica,medial,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_JosileideS,2017,00:21:10.687,JosileideS
