VD,CONT_PREC,OCORRENCIA,CONT_SEGUINTE,ITEM_LEXICAL,TRANSC_FONOLOGICA_SILAC,CONT_FON_PREC,CONT_FON_SEG,TONICIDADE,POSICAO_S,CLASSE_MORFOLOGICA,CLASSE_MORFOLOGICA2,CLASSE_MORFOLOGICA3,STATUS_MORFOLOGICO,MORFEMA.PLURAL,ARQUIVO,ANO.ENTREVISTA,LOCALIZACAO,PARTICIPANTE
0, passou a tratar galinha com com , mais <0> , dificuldade D1 uhn S só ,mais,'majs,j,d,tonica,final,adverbio,adverbio,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:26:39.209,ArmandoG
A, dificuldade D1 uhn S só vou , responder <A> , um negócio aqui rapidinho D1 ,responder,hes-pO-'der,e,p,atona,medial,verbo,verbo,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:26:43.498,ArmandoG
A, chegar até aqui S minutos cinco , minutos <A> , depende do trânsito D1 vem ,minutos,mi-'nu-tos,o,d,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:27:04.432,ArmandoG
A, carro porque como eu volto tarde , às <A> , vezes <A> D1 aham D1 ,às,'as,a,v,tonica,final,prepArtigo,artigo,gramatical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:27:07.850,ArmandoG
A, como eu volto tarde às <A> , vezes <A> , D1 aham D1 depender de ,vezes,'ve-zes,e,#,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:27:07.850,ArmandoG
A, pertinho também né S não e , às <A> , vezes a gente vai almoçar ,às,'as,a,v,tonica,final,prepArtigo,artigo,gramatical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:27:19.383,ArmandoG
A, D1 uhn D1 eh S e , às <A> , vezes <0> na hora do ,às,'as,a,v,tonica,final,prepArtigo,artigo,gramatical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:27:27.500,ArmandoG
0, D1 eh S e às <A> , vezes <0> , na hora do almoço a ,vezes,'ve-zes,e,n,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:27:27.500,ArmandoG
A, D1 entendi S e eu a , às <A> , vezes eu nem venho pra ,às,'as,a,v,tonica,final,prepArtigo,artigo,gramatical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:27:37.735,ArmandoG
A, ho atualmente eu estou <E> fazendo , pesquisa <A> , D1 uhn S eu estou ,pesquisa,pes-'ki-za,e,k,atona,medial,substantivo,substantivo,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:27:54.977,ArmandoG
