"","VD","CONT_PREC","OCORRENCIA","CONT_SEGUINTE","ITEM_LEXICAL","TRANSC_FONOLOGICA_SILAC","CONT_FON_PREC","CFP_abertura","CFP_anterioridade","CFP_tracoposicao1","CFP_tracoposicao2","CONT_FON_SEG","CFS_pontoc","CFS_sonor","TONICIDADE","POSICAO_S","CLASSE_MORFOLOGICA","CLASSE_MORFOLOGICA2","CLASSE_MORFOLOGICA3","MORFEMA.PLURAL","MORFEMA.PLURAL2","MUDANCA.SENTIDO","ESTILO","ARQUIVO.x","ANO.ENTREVISTA","LOCALIZACAO","PARTICIPANTE","STATUS_MORFOLOGICO","ARQUIVO.y","PERFIL","ESTADO","AMOSTRA","GENERO","IDADE","FAIXA_ETARIA","ESCOLARIDADE","ESCOLARIDADE2","INDICE_ESCOL_OUSHIRO","INDICE_ESCOL3","OCUPACAO","INDICE_OCUPACAO","TRABALHO.OUTROCARGO","INDICE_OUTRO_CARGO","INDICE_OUTRO_CARGO2","TRABALHO.SONHO","INDICE_OCUPACAO_SONHOS","INDICE_OCUPACAO_SONHOS2","OCUPACAO_LOCOMOCAO","OCUPACAO_LOCOMOCAO2","INDICE_LOCOMOCAO","OCUPACAO_DIST","MEGA_SENA","MEGA_SENA2","INDICE_MEGA","MEGASENA_TRABALHAR","MEGASENA_TRABALHAR2","INDICE_MEGA_TRABALHO","LAZER_CARACTERISTICA","INDICE_LAZER","LAZER_CAMPINAS_CARACTERISTICA","INDICE_LAZER_CAMPINAS","VIAGEM","INDICE_VIAGEM","VIAGEM_LUGAR","INDICE_VIAGEM_LUGAR","LAZER_VIAGEM_VONTADE2","INDICE_VIAGEM_VONTADE","BAIRRO_REGIAO","BAIRRO_REGIAO2","INDICE_BAIRRO","BAIRRO","CIDADE_RES","INFANCIA_MEMORIA","INDICE_INFANCIA","INDICE_SOCIO_OUSHIRO","CLASSE_SOCIAL","CLASSE_SOCIAL_BC","CLASSE_SOCIAL_BCC","IDADE_MIGRACAO","IDADE_MIGRACAO_fat","TEMPO_RESIDENCIA","TEMPO_RESIDENCIA_fat","PROP_VIDA_SP","PROP_VIDA_SP2","CID_ORIGEM","CID_RESIDENCIA","MOTIVO","AMIGOS","VIZINHOS","COLEGAS_ESTADO","COLEGAS_NE","COMIDA","MUSICA","CONVERSA","VOLTA","ONDE_MORARIA","ESTADUALIDADE","PAULISTIDADE","NORDESTINIDADE","DIF_SP","DIF_NE","DIF_FALAR","IMOVEL","INDICE_IMOVEL","PROPRIEDADE","NQUARTOS","NBANHEIROS","NCOMODOS","NPESSOAS","DENSIDADE_HABITACAO","NRENDA","RENDA_IND","INDICE_RENDA_IND","RENDA_FAM","INDICE_RENDA_FAM","ESCOLA_PAI","ESCOLA_PAI2","INDICE_ESCOL_PAI_OUSHIRO","INDICE_ESCOL_PAI","OCUPACAO_PAI","INDICE_OCUPACAO_PAI","ESCOLA_MAE","ESCOLA_MAE2","INDICE_ESCOL_MAE_OUSHIRO","INDICE_ESCOL_MAE","OCUPACAO_MAE","INDICE_OCUPACAO_MAE","OCUPACAO_AMIGO1","AMIGO1_CLASSIFICACAO","OCUPACAO_AMIGO2","AMIGO2_CLASSIFICACAO","OCUPACAO_AMIGO3","AMIGO3_CLASSIFICACAO","OCUPACAO_AMIGO4","AMIGO4_CLASSIFICACAO","OCUPACAO_AMIGO5","AMIGO5_CLASSIFICACAO","DOCUMENTADOR","INDICE_REDE_EST","INDICE_REDE_NE","INDICE_HABITOS","CLASSE_AUTODECLARADA","SAUDE","INDICE_ESCOL3_norm","INDICE_OCUPACAO_norm","INDICE_OUTRO_CARGO2_norm","INDICE_OCUPACAO_SONHOS2_norm","INDICE_LOCOMOCAO_norm","INDICE_MEGA_norm","INDICE_LAZER_norm","INDICE_LAZER_CAMPINAS_norm","INDICE_VIAGEM_norm","INDICE_VIAGEM_LUGAR_norm","INDICE_VIAGEM_VONTADE_norm","INDICE_BAIRRO_norm","INDICE_INFANCIA_norm","INDICE_RENDA_IND_norm","INDICE_RENDA_FAM_norm","INDICE_ESCOL_PAI_norm","INDICE_OCUPACAO_PAI_norm","INDICE_ESCOL_MAE_norm","INDICE_OCUPACAO_MAE_norm","DENSIDADE_HABITACAO_norm","INDICE_IMOVEL_norm","media_m2","PAIS","LAZER","VIAGEM2","INDICE_SOCIO_POLI","CFP_abertura2","CFS_pontoc2","CFS_sonoridade"
"708","A","crianças <A> daqui (xxx) | S","às <A>","vezes <A> assim você |","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB-_RosemaraA",2018,"00:29:46.388","RosemaraA",NA,"PBCP_2018FB-_RosemaraA","FB-","PB","amostra2","feminino",35,"2a.3a","medio","medio","3.5",6,"Diarista",1,"decoradora","com.perspec",1,"medico","prof.especializacao",2,"onibus","publico",0,"longe","investir","investir",3,"parar.trabalhar","parar.trabalhar","0","custo",2,"nsai.ntem",0,"nao",0,"nacional",2,"nacional.internacional",2,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,1.92,"D","baixa","baixa",30,"20+",5,"9-","14","ate1quarto","Soledade","Paulinia","trabalho","poucos","nao","nao","alguns","tododia","as.vezes","tododia","1xano","estado.origem",10,7,10,"5","0","10","casa",1,"alugado","3+","1","4","2",0.5,2,"1a2SM",1,"2a4SM",2,"fund1","fund","1",2,"Aposentado",NA,"analfabeto","analfabeto","0",0,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,11,NA,NA,3.33333333333333,0.833333333333333,5,5,0,5,5,0,0,3.33333333333333,5,0,5,1.25,2,1.11111111111111,NA,0,NA,1,2.5,2672.33,0.555555555555556,2.5,2.77777777777778,2.92,"aberta","labial","sonora"
"709","A","porque dependia daquele homem | S","às <A>","vezes <0> a pessoa mesmo","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB-_RosemaraA",2018,"00:29:48.354","RosemaraA",NA,"PBCP_2018FB-_RosemaraA","FB-","PB","amostra2","feminino",35,"2a.3a","medio","medio","3.5",6,"Diarista",1,"decoradora","com.perspec",1,"medico","prof.especializacao",2,"onibus","publico",0,"longe","investir","investir",3,"parar.trabalhar","parar.trabalhar","0","custo",2,"nsai.ntem",0,"nao",0,"nacional",2,"nacional.internacional",2,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,1.92,"D","baixa","baixa",30,"20+",5,"9-","14","ate1quarto","Soledade","Paulinia","trabalho","poucos","nao","nao","alguns","tododia","as.vezes","tododia","1xano","estado.origem",10,7,10,"5","0","10","casa",1,"alugado","3+","1","4","2",0.5,2,"1a2SM",1,"2a4SM",2,"fund1","fund","1",2,"Aposentado",NA,"analfabeto","analfabeto","0",0,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,11,NA,NA,3.33333333333333,0.833333333333333,5,5,0,5,5,0,0,3.33333333333333,5,0,5,1.25,2,1.11111111111111,NA,0,NA,1,2.5,2672.33,0.555555555555556,2.5,2.77777777777778,2.92,"aberta","labial","sonora"
"710","A","a casar | S e ficar","às <A>","vezes <0> por conta disso","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB-_RosemaraA",2018,"00:29:53.892","RosemaraA",NA,"PBCP_2018FB-_RosemaraA","FB-","PB","amostra2","feminino",35,"2a.3a","medio","medio","3.5",6,"Diarista",1,"decoradora","com.perspec",1,"medico","prof.especializacao",2,"onibus","publico",0,"longe","investir","investir",3,"parar.trabalhar","parar.trabalhar","0","custo",2,"nsai.ntem",0,"nao",0,"nacional",2,"nacional.internacional",2,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,1.92,"D","baixa","baixa",30,"20+",5,"9-","14","ate1quarto","Soledade","Paulinia","trabalho","poucos","nao","nao","alguns","tododia","as.vezes","tododia","1xano","estado.origem",10,7,10,"5","0","10","casa",1,"alugado","3+","1","4","2",0.5,2,"1a2SM",1,"2a4SM",2,"fund1","fund","1",2,"Aposentado",NA,"analfabeto","analfabeto","0",0,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,11,NA,NA,3.33333333333333,0.833333333333333,5,5,0,5,5,0,0,3.33333333333333,5,0,5,1.25,2,1.11111111111111,NA,0,NA,1,2.5,2672.33,0.555555555555556,2.5,2.77777777777778,2.92,"aberta","labial","sonora"
"711","A","<A> vezes <0> por conta disso","às <A>","vezes <A> era o pai","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB-_RosemaraA",2018,"00:29:53.892","RosemaraA",NA,"PBCP_2018FB-_RosemaraA","FB-","PB","amostra2","feminino",35,"2a.3a","medio","medio","3.5",6,"Diarista",1,"decoradora","com.perspec",1,"medico","prof.especializacao",2,"onibus","publico",0,"longe","investir","investir",3,"parar.trabalhar","parar.trabalhar","0","custo",2,"nsai.ntem",0,"nao",0,"nacional",2,"nacional.internacional",2,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,1.92,"D","baixa","baixa",30,"20+",5,"9-","14","ate1quarto","Soledade","Paulinia","trabalho","poucos","nao","nao","alguns","tododia","as.vezes","tododia","1xano","estado.origem",10,7,10,"5","0","10","casa",1,"alugado","3+","1","4","2",0.5,2,"1a2SM",1,"2a4SM",2,"fund1","fund","1",2,"Aposentado",NA,"analfabeto","analfabeto","0",0,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,11,NA,NA,3.33333333333333,0.833333333333333,5,5,0,5,5,0,0,3.33333333333333,5,0,5,1.25,2,1.11111111111111,NA,0,NA,1,2.5,2672.33,0.555555555555556,2.5,2.77777777777778,2.92,"aberta","labial","sonora"
"712","A","pra casar ela se libertava ela","às <A>","vezes <0> nem gostava <A>","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB-_RosemaraA",2018,"00:29:58.577","RosemaraA",NA,"PBCP_2018FB-_RosemaraA","FB-","PB","amostra2","feminino",35,"2a.3a","medio","medio","3.5",6,"Diarista",1,"decoradora","com.perspec",1,"medico","prof.especializacao",2,"onibus","publico",0,"longe","investir","investir",3,"parar.trabalhar","parar.trabalhar","0","custo",2,"nsai.ntem",0,"nao",0,"nacional",2,"nacional.internacional",2,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,1.92,"D","baixa","baixa",30,"20+",5,"9-","14","ate1quarto","Soledade","Paulinia","trabalho","poucos","nao","nao","alguns","tododia","as.vezes","tododia","1xano","estado.origem",10,7,10,"5","0","10","casa",1,"alugado","3+","1","4","2",0.5,2,"1a2SM",1,"2a4SM",2,"fund1","fund","1",2,"Aposentado",NA,"analfabeto","analfabeto","0",0,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,11,NA,NA,3.33333333333333,0.833333333333333,5,5,0,5,5,0,0,3.33333333333333,5,0,5,1.25,2,1.11111111111111,NA,0,NA,1,2.5,2672.33,0.555555555555556,2.5,2.77777777777778,2.92,"aberta","labial","sonora"
"713","A","| D1 ah | S eu","às <A>","vezes <0> mesmo <A> que","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB-_RosemaraA",2018,"00:30:25.161","RosemaraA",NA,"PBCP_2018FB-_RosemaraA","FB-","PB","amostra2","feminino",35,"2a.3a","medio","medio","3.5",6,"Diarista",1,"decoradora","com.perspec",1,"medico","prof.especializacao",2,"onibus","publico",0,"longe","investir","investir",3,"parar.trabalhar","parar.trabalhar","0","custo",2,"nsai.ntem",0,"nao",0,"nacional",2,"nacional.internacional",2,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,1.92,"D","baixa","baixa",30,"20+",5,"9-","14","ate1quarto","Soledade","Paulinia","trabalho","poucos","nao","nao","alguns","tododia","as.vezes","tododia","1xano","estado.origem",10,7,10,"5","0","10","casa",1,"alugado","3+","1","4","2",0.5,2,"1a2SM",1,"2a4SM",2,"fund1","fund","1",2,"Aposentado",NA,"analfabeto","analfabeto","0",0,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,11,NA,NA,3.33333333333333,0.833333333333333,5,5,0,5,5,0,0,3.33333333333333,5,0,5,1.25,2,1.11111111111111,NA,0,NA,1,2.5,2672.33,0.555555555555556,2.5,2.77777777777778,2.92,"aberta","labial","sonora"
"714","A","sete hora da manhã até sete","às <A>","vezes <0> sete hora da","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB-_RosemaraA",2018,"00:30:31.110","RosemaraA",NA,"PBCP_2018FB-_RosemaraA","FB-","PB","amostra2","feminino",35,"2a.3a","medio","medio","3.5",6,"Diarista",1,"decoradora","com.perspec",1,"medico","prof.especializacao",2,"onibus","publico",0,"longe","investir","investir",3,"parar.trabalhar","parar.trabalhar","0","custo",2,"nsai.ntem",0,"nao",0,"nacional",2,"nacional.internacional",2,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,1.92,"D","baixa","baixa",30,"20+",5,"9-","14","ate1quarto","Soledade","Paulinia","trabalho","poucos","nao","nao","alguns","tododia","as.vezes","tododia","1xano","estado.origem",10,7,10,"5","0","10","casa",1,"alugado","3+","1","4","2",0.5,2,"1a2SM",1,"2a4SM",2,"fund1","fund","1",2,"Aposentado",NA,"analfabeto","analfabeto","0",0,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,11,NA,NA,3.33333333333333,0.833333333333333,5,5,0,5,5,0,0,3.33333333333333,5,0,5,1.25,2,1.11111111111111,NA,0,NA,1,2.5,2672.33,0.555555555555556,2.5,2.77777777777778,2.92,"aberta","labial","sonora"
"715","A","eu puxo sim filha | S","às <A>","vezes <A> ele lava o","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB-_RosemaraA",2018,"00:30:34.612","RosemaraA",NA,"PBCP_2018FB-_RosemaraA","FB-","PB","amostra2","feminino",35,"2a.3a","medio","medio","3.5",6,"Diarista",1,"decoradora","com.perspec",1,"medico","prof.especializacao",2,"onibus","publico",0,"longe","investir","investir",3,"parar.trabalhar","parar.trabalhar","0","custo",2,"nsai.ntem",0,"nao",0,"nacional",2,"nacional.internacional",2,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,1.92,"D","baixa","baixa",30,"20+",5,"9-","14","ate1quarto","Soledade","Paulinia","trabalho","poucos","nao","nao","alguns","tododia","as.vezes","tododia","1xano","estado.origem",10,7,10,"5","0","10","casa",1,"alugado","3+","1","4","2",0.5,2,"1a2SM",1,"2a4SM",2,"fund1","fund","1",2,"Aposentado",NA,"analfabeto","analfabeto","0",0,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,11,NA,NA,3.33333333333333,0.833333333333333,5,5,0,5,5,0,0,3.33333333333333,5,0,5,1.25,2,1.11111111111111,NA,0,NA,1,2.5,2672.33,0.555555555555556,2.5,2.77777777777778,2.92,"aberta","labial","sonora"
"716","A","S não é direto não porque","às <A>","vezes <A> eu chego em","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB-_RosemaraA",2018,"00:30:42.912","RosemaraA",NA,"PBCP_2018FB-_RosemaraA","FB-","PB","amostra2","feminino",35,"2a.3a","medio","medio","3.5",6,"Diarista",1,"decoradora","com.perspec",1,"medico","prof.especializacao",2,"onibus","publico",0,"longe","investir","investir",3,"parar.trabalhar","parar.trabalhar","0","custo",2,"nsai.ntem",0,"nao",0,"nacional",2,"nacional.internacional",2,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,1.92,"D","baixa","baixa",30,"20+",5,"9-","14","ate1quarto","Soledade","Paulinia","trabalho","poucos","nao","nao","alguns","tododia","as.vezes","tododia","1xano","estado.origem",10,7,10,"5","0","10","casa",1,"alugado","3+","1","4","2",0.5,2,"1a2SM",1,"2a4SM",2,"fund1","fund","1",2,"Aposentado",NA,"analfabeto","analfabeto","0",0,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,11,NA,NA,3.33333333333333,0.833333333333333,5,5,0,5,5,0,0,3.33333333333333,5,0,5,1.25,2,1.11111111111111,NA,0,NA,1,2.5,2672.33,0.555555555555556,2.5,2.77777777777778,2.92,"aberta","labial","sonora"
"717","A","não é nem | S e","às <A>","vezes <A> opção | D1","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB+_MelanieG",2018,"00:30:48.854","MelanieG",NA,"PBCP_2018FB+_MelanieG","FB+","PB","amostra2","feminino",47,"2a.3a","medio","medio","3.5",6,"Diarista",1,"vendedora","com.perspec",1,"medica","prof.especializacao",2,"onibus","publico",0,"longe","voltar.estado","voltar.estado",1,"parar.trabalhar","parar.trabalhar","0","sem.custo",1,"nsai.ntem",0,"nao",0,"SP-estado",NA,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","negativa",0,2.13,"C2","baixa","media",32,"20+",15,"10+","32","de1a2quartos","Soledade","Paulinia","trabalho","maioria","nao","nao","nao","tododia","sempre","tododia","1xano","NE",10,0,10,"8","8","10","casa",1,"proprio","2","1","3","2",0.7,2,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,"Aposentado",NA,NA,NA,NA,NA,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",7,7,12,NA,NA,3.33333333333333,0.833333333333333,5,5,0,1.66666666666667,2.5,0,0,NA,2.5,0,0,1.25,1,NA,NA,NA,NA,1.4,2.5,2672.33,NA,1.25,1.25,1.82,"aberta","labial","sonora"
"718","0","| S também né? | S","às <0>","vez <A> você procura (xxx)","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB+_MelanieG",2018,"00:30:51.332","MelanieG",NA,"PBCP_2018FB+_MelanieG","FB+","PB","amostra2","feminino",47,"2a.3a","medio","medio","3.5",6,"Diarista",1,"vendedora","com.perspec",1,"medica","prof.especializacao",2,"onibus","publico",0,"longe","voltar.estado","voltar.estado",1,"parar.trabalhar","parar.trabalhar","0","sem.custo",1,"nsai.ntem",0,"nao",0,"SP-estado",NA,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","negativa",0,2.13,"C2","baixa","media",32,"20+",15,"10+","32","de1a2quartos","Soledade","Paulinia","trabalho","maioria","nao","nao","nao","tododia","sempre","tododia","1xano","NE",10,0,10,"8","8","10","casa",1,"proprio","2","1","3","2",0.7,2,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,"Aposentado",NA,NA,NA,NA,NA,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",7,7,12,NA,NA,3.33333333333333,0.833333333333333,5,5,0,1.66666666666667,2.5,0,0,NA,2.5,0,0,1.25,1,NA,NA,NA,NA,1.4,2.5,2672.33,NA,1.25,1.25,1.82,"aberta","labial","sonora"
"719","A","uhum | S vêm pessoas <A>","às <A>","vezes/ <0> você tem vizinho","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB+_MelanieG",2018,"00:31:08.733","MelanieG",NA,"PBCP_2018FB+_MelanieG","FB+","PB","amostra2","feminino",47,"2a.3a","medio","medio","3.5",6,"Diarista",1,"vendedora","com.perspec",1,"medica","prof.especializacao",2,"onibus","publico",0,"longe","voltar.estado","voltar.estado",1,"parar.trabalhar","parar.trabalhar","0","sem.custo",1,"nsai.ntem",0,"nao",0,"SP-estado",NA,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","negativa",0,2.13,"C2","baixa","media",32,"20+",15,"10+","32","de1a2quartos","Soledade","Paulinia","trabalho","maioria","nao","nao","nao","tododia","sempre","tododia","1xano","NE",10,0,10,"8","8","10","casa",1,"proprio","2","1","3","2",0.7,2,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,"Aposentado",NA,NA,NA,NA,NA,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",7,7,12,NA,NA,3.33333333333333,0.833333333333333,5,5,0,1.66666666666667,2.5,0,0,NA,2.5,0,0,1.25,1,NA,NA,NA,NA,1.4,2.5,2672.33,NA,1.25,1.25,1.82,"aberta","labial","sonora"
"720","A","só quando eu estou <E> falando","às <A>","vezes <A> só/ mas <0>","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB+_MelanieG",2018,"00:31:15.650","MelanieG",NA,"PBCP_2018FB+_MelanieG","FB+","PB","amostra2","feminino",47,"2a.3a","medio","medio","3.5",6,"Diarista",1,"vendedora","com.perspec",1,"medica","prof.especializacao",2,"onibus","publico",0,"longe","voltar.estado","voltar.estado",1,"parar.trabalhar","parar.trabalhar","0","sem.custo",1,"nsai.ntem",0,"nao",0,"SP-estado",NA,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","negativa",0,2.13,"C2","baixa","media",32,"20+",15,"10+","32","de1a2quartos","Soledade","Paulinia","trabalho","maioria","nao","nao","nao","tododia","sempre","tododia","1xano","NE",10,0,10,"8","8","10","casa",1,"proprio","2","1","3","2",0.7,2,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,"Aposentado",NA,NA,NA,NA,NA,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",7,7,12,NA,NA,3.33333333333333,0.833333333333333,5,5,0,1.66666666666667,2.5,0,0,NA,2.5,0,0,1.25,1,NA,NA,NA,NA,1.4,2.5,2672.33,NA,1.25,1.25,1.82,"aberta","labial","sonora"
"721","A","| S ah o pessoal lá/","às <A>","vezes <A> a gente |","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018FB+_MelanieG",2018,"00:31:22.196","MelanieG",NA,"PBCP_2018FB+_MelanieG","FB+","PB","amostra2","feminino",47,"2a.3a","medio","medio","3.5",6,"Diarista",1,"vendedora","com.perspec",1,"medica","prof.especializacao",2,"onibus","publico",0,"longe","voltar.estado","voltar.estado",1,"parar.trabalhar","parar.trabalhar","0","sem.custo",1,"nsai.ntem",0,"nao",0,"SP-estado",NA,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","negativa",0,2.13,"C2","baixa","media",32,"20+",15,"10+","32","de1a2quartos","Soledade","Paulinia","trabalho","maioria","nao","nao","nao","tododia","sempre","tododia","1xano","NE",10,0,10,"8","8","10","casa",1,"proprio","2","1","3","2",0.7,2,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,"Aposentado",NA,NA,NA,NA,NA,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",7,7,12,NA,NA,3.33333333333333,0.833333333333333,5,5,0,1.66666666666667,2.5,0,0,NA,2.5,0,0,1.25,1,NA,NA,NA,NA,1.4,2.5,2672.33,NA,1.25,1.25,1.82,"aberta","labial","sonora"
"722","A","no Nordeste <P> e/ eles <A>","às <A>","vezes <0> | S eu","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018MA-_JonasP",2018,"00:31:25.184","JonasP",NA,"PBCP_2018MA-_JonasP","MA-","PB","amostra2","masculino",23,"1a","medio","medio","3.5",6,"Agricultor",1,"motorista","com.perspec",1,"politico","prof.especializacao",2,NA,NA,NA,NA,"ajudar.outros","ajudar.outros",2,NA,NA,NA,"sem.custo",1,"nsai.ntem",0,"nao",0,NA,NA,"nacional",1,"periferia.norte","periferia",0,NA,"Engenheiro Coelho","positiva",2,2.17,"C2","baixa","media",17,"19-",6,"9-","26","de1a2quartos","Nova Holinda","EngenheiroCoelho","trabalho","maioria","varios","alguns","alguns","tododia","nunca","tododia","menos1xano","estado.origem",10,0,10,"10","9","10","casa",1,"alugado","2","1","3","3",1,2,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",10,10,9,NA,NA,3.33333333333333,0.833333333333333,5,5,NA,3.33333333333333,2.5,0,0,NA,2.5,0,5,1.25,1,NA,NA,NA,NA,2,2.5,NA,NA,1.25,1.25,2.66,"aberta","labial","sonora"
"723","A","lá | S a gente por","às <A>","vez <A> também (xxx) oferecer","às","'a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","tonica","final","ArtigoDef","artigo","gramatical","nao","nao","nao","conversa","PBCP_2018MA-_JonasP",2018,"00:31:31.429","JonasP",NA,"PBCP_2018MA-_JonasP","MA-","PB","amostra2","masculino",23,"1a","medio","medio","3.5",6,"Agricultor",1,"motorista","com.perspec",1,"politico","prof.especializacao",2,NA,NA,NA,NA,"ajudar.outros","ajudar.outros",2,NA,NA,NA,"sem.custo",1,"nsai.ntem",0,"nao",0,NA,NA,"nacional",1,"periferia.norte","periferia",0,NA,"Engenheiro Coelho","positiva",2,2.17,"C2","baixa","media",17,"19-",6,"9-","26","de1a2quartos","Nova Holinda","EngenheiroCoelho","trabalho","maioria","varios","alguns","alguns","tododia","nunca","tododia","menos1xano","estado.origem",10,0,10,"10","9","10","casa",1,"alugado","2","1","3","3",1,2,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",10,10,9,NA,NA,3.33333333333333,0.833333333333333,5,5,NA,3.33333333333333,2.5,0,0,NA,2.5,0,5,1.25,1,NA,NA,NA,NA,2,2.5,NA,NA,1.25,1.25,2.66,"aberta","labial","sonora"
