"","PC1","PC2","PC3","PC4"
"INDICE_ESCOL3_norm",0.294451551487231,0.124657274274991,-0.297000097637372,0.319436528549223
"INDICE_ESCOL_PAI_norm",0.362561993252749,-0.202258003616701,0.0623099436707315,-0.158622117444624
"INDICE_ESCOL_MAE_norm",0.347948533387481,-0.283300969220094,0.115728673605114,0.164449840649429
"INDICE_OCUPACAO_norm",0.325524927234063,0.151117384740976,-0.0559773918568519,0.381846670169876
"INDICE_OCUPACAO_PAI_norm",0.320134536318185,-0.280868710583642,0.0179022609760489,-0.188690254443361
"INDICE_OCUPACAO_MAE_norm",0.261796034582388,-0.45090537807642,-0.0172169345918979,0.0979313614858548
"INDICE_OCUPACAO_SONHOS2_norm",0.0118805254492277,0.249862910222174,0.274411083314875,0.442915504108636
"INDICE_MEGA_norm",0.245811440507838,0.199456212737262,0.238518019819461,-0.27562363503325
"INDICE_RENDA_IND_norm",0.14741224871409,0.0452708224745881,-0.403606090406743,-0.23542225351931
"INDICE_IMOVEL_norm",0.0920449162251223,0.548020511692759,-0.19849548037986,-0.0622238919008026
"INDICE_LAZER_norm",0.295438140736862,0.174955574591321,0.278622305584082,-0.0482186766272276
"INDICE_LAZER_CAMPINAS_norm",0.0502373396169324,-0.0074661360224361,-0.377208134347039,0.389785090881881
"INDICE_VIAGEM_norm",0.155763346114288,0.117081219782775,-0.308656898755651,-0.245319109508143
"INDICE_VIAGEM_LUGAR_norm",0.138604497674013,0.00494602997783192,-0.414158744844841,-0.173945164523871
"INDICE_VIAGEM_VONTADE_norm",0.346923465764935,0.167302931892693,0.173330026350821,0.0853521773247273
"INDICE_INFANCIA_norm",0.198457269122825,0.285088306344749,0.198791532951762,-0.26708671788988
