n,PRECO,M2,PRECOMETRO2,BAIRRO,SITE,CIDADE
185,1395000,229,6090,São Joaquim,VivaReal,Vinhedo
186,330000,150,2200,Vila Cruzeiro,VivaReal,Itatiba
187,379450,77,4928,Vila Cruzeiro,VivaReal,Itatiba
188,450000,156,2884,Vila Cruzeiro,VivaReal,Itatiba
189,480000,165,2909,Vila Cruzeiro,VivaReal,Itatiba
190,549620,130,4228,Vila Cruzeiro,VivaReal,Itatiba
191,590000,140,4214,Vila Cruzeiro,VivaReal,Itatiba
192,600000,168,3571,Vila Cruzeiro,VivaReal,Itatiba
193,649120,250,2596,Vila Cruzeiro,VivaReal,Itatiba
194,690000,161,4286,Vila Cruzeiro,VivaReal,Itatiba
195,750000,161,4658,Vila Cruzeiro,VivaReal,Itatiba
